,,TOTAL,342,TIME,BEATS,,,,,
,,,,,,,,,,
,,,,,,,,,,
TBB-46025,,OPEN,1,,,,,,,
TBB-51154,,OPEN,1,,,,,,,
TBB-64082,,OPEN,1,,,,,,,
TBB-62422,,OPEN,1,,,,,,,
TBB-59049,,OPEN,1,,,,,,,"voice_api_type=pwr,notifications_api_type=tns)"
TBB-63127,,OPEN,1,,,,,,,
TBB-63693,,OPEN,1,,,,,,,
TBB-55336,,OPEN,1,,,,,,,
TBB-55295,,OPEN,1,,,,,,,
TBB-13916,,OPEN,1,,,,,,,
TBB-44683,,OPEN,1,,,,,,,
TBB-65518,,OPEN,1,,,,,,,
TBB-24997,,OPEN,1,,,,,,,
TBB-14365,,OPEN,1,,~unstable ,,,,,
TBB-67063,,OPEN,1,,,,,,,
TBB-37709,,OPEN,1,,,,,,,
TBB-45560,,OPEN,1,,,,,,,
TBB-66591,,OPEN,1,,,,,,,
TBB-41624 TBB-41626,,OPEN,2,,,,,,,
TBB-42951 TBB-42952,,OPEN,2,,,,,,,
TBB-63147,,OPEN,1,,,,,,,
TBB-61774,,OPEN,1,,,,,,,
TBB-36013,,OPEN,1,,,,,,,
TBB-40171,,OPEN,1,,,,,,,
TBB-49601,,OPEN,1,,,,,,,
TBB-48883,,OPEN,1,,,,,,,
TBB-59815,,N PROGRESS,1,,,,,,,
TBB-32163,,OPEN,1,,,,,,,
TBB-17875,,OPEN,1,,,,,,,
TBB-68277,,OPEN,1,,,,,,,
TBB-13253,,OPEN,1,,,,,,,
TBB-67827,,OPEN,1,,,,,,,
TBB-70456,,OPEN,1,,,,,,,
TBB-39359,,WAITING FOR CLARIFIC,1,,,,,,,
TBB-24902,,WAITING FOR CLARIFIC,1,,,,,,,
TBB-40162,,OPEN,1,,,,,,,
TBB-37103,,OPEN,1,,,,,,,
TBB-55643 ,,OPEN,2,,,,,,,
TBB-22517,,OPEN,1,,,,,,,
TBB-54778,,OPEN,1,,,,,,,
TBB-68287,,OPEN,1,,,,,,,
TBB-34008,,OPEN,1,,,,,,,
TBB-68122,,OPEN,1,,,,,,,
TBB-37961,,OPEN,1,,,,,,,
TBB-45793,,OPEN,1,,,,,,,
TBB-51205,,OPEN,1,,,,,,,
TBB-45475 TBB-44848,,OPEN,2,,,,,,,
TBB-40526,,OPEN,1,,,,,,,
TBB-69655,,OPEN,1,,,,,,,
TBB-41512,,OPEN,1,,,,,,,
"
TBB-37613",,OPEN,1,,,,,,,
TBB-50699,,OPEN,1,,,,,,,
TBB-37962 TBB-37964 TBB-37963,,OPEN,3,,,,,,,
TBB-43453,,WAITING FOR CLARIFIC,1,,"No valid, need use SP",,,,,
TBB-36650,,OPEN,1,,,,,,,
TBB-39311,,OPEN,1,,,,,,,
TBB-32355 TBB-32356,,OPEN,2,,,,,,,
TBB-45997,,OPEN,1,,,,,,,
TBB-61782 TBB-71204,,OPEN,2,,,,,,,
TBB-45960,,OPEN,1,,,,,,,
TBB-48104 TBB-48170,,OPEN,2,,,,,,,
TBB-25217,,,1,,,,,,,
TBB-38579(GBR),,OPEN,1,,,,,,,
TBB-44043 TBB-38093 TBB-53929 TBB-34260 TBB-38068 TBB-44849 TBB-38094 TBB-38052 TBB-65517 TBB-38133 TBB-34260 TBB-38052 TBB-38094 TBB-38067 TBB-38053,,IN PROGRESS,15,,,,,,,
TBB-71206 TBB-71165,,IN PROGRESS,2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TBB-59364,,RESOLVED,1,,Release Fixed: 22.1,,,,,
TBB-49043,,CLOSED,1,,"Fix Version/s:
Release 22.1
",,,,,
TBB-53930 TBB-53999 TBB-55636 TBB-55724 TBB-58948 TBB-62517 TBB-62878 TBB-53927,,CLOSED,8,4h,"Fix Version/s:
22.1 Telco3 Maintenance",,,,,
TBB-62519,,CLOSED,1,,"Fix Version/s:
22.1 Telco3 Maintenance",,,,,
TBB-50366 TBB-50365 TBB-38548 TBB-54471,,CLOSED,4,,recheck in 22.1,,,,,
TBB-54223 TBB-54221,,CLOSED,,,recheck in 22.1/ AGS master,,,,,
TBB-51532 TBB-51535 TBB-51528 TBB-51691 TBB-51662 TBB-51731 TBB-51813 TBB-51812 TBB-51879 TBB-51836,,CLOSED,10,4h,recheck in 22.1/ AGS master,,,,,
